Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,0,-10,162,-1.0,-1.0,
Existants,J2,159,164,5,105,163.0,0.03,
Existants,J3,167,184,17,129,183.0,0.1,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,139,-9,79,138.0,-0.06,
Nouveaux acceptés,J6,,254,,187,1.36,,
Nouveaux acceptés,J7,,354,,113,3.13,,
Nouveaux acceptés,J8,,335,,78,4.29,,
Nouveaux acceptés,J9,,159,,104,1.53,,
Nouveaux acceptés,J10,,430,,116,3.71,,
Nouveaux acceptés,J11,,248,,132,1.88,,
Nouveaux acceptés,J12,,382,,105,3.64,,
