Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,72,202,130,142,1.42,1.81,
Existants,J2,322,326,4,136,2.4,0.01,
Existants,J3,225,83,-142,183,0.45,-0.63,
Existants,J4,13,205,192,207,0.99,14.77,
Existants,J5,162,251,89,155,1.62,0.55,
Existants,J6,377,243,-134,107,2.27,-0.36,
Existants,J7,441,423,-18,65,6.51,-0.04,
Existants,J8,2,0,-2,138,0.0,-1.0,
Nouveaux acceptés,J9,,415,,153,2.71,,
Nouveaux acceptés,J10,,538,,90,5.98,,
Nouveaux acceptés,J11,,365,,90,4.06,,
Nouveaux acceptés,J12,,458,,141,3.25,,
