Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,72,72,0,142,0.51,0.0,
Existants,J2,322,212,-110,136,1.56,-0.34,
Existants,J3,225,97,-128,183,0.53,-0.57,
Existants,J4,13,198,185,207,0.96,14.23,
Existants,J5,162,187,25,155,1.21,0.15,
Existants,J6,377,345,-32,107,3.22,-0.08,
Existants,J7,441,409,-32,65,6.29,-0.07,
Existants,J8,2,2,0,138,0.01,0.0,
Nouveaux acceptés,J9,,321,,256,1.25,,
Nouveaux acceptés,J10,,249,,197,1.26,,
Nouveaux acceptés,J11,,433,,193,2.24,,
Nouveaux acceptés,J12,,280,,233,1.2,,
Nouveaux acceptés,J13,,198,,193,1.03,,
