Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,72,68,-4,142,0.48,-0.06,
Existants,J2,322,80,-242,136,0.59,-0.75,
Existants,J3,225,210,-15,183,1.15,-0.07,
Existants,J4,13,245,232,207,1.18,17.85,
Existants,J5,162,172,10,155,1.11,0.06,
Existants,J6,377,415,38,107,3.88,0.1,
Existants,J7,441,479,38,65,7.37,0.09,
Existants,J8,2,127,125,138,0.92,62.5,
Nouveaux acceptés,J9,,361,,155,2.33,,
Nouveaux acceptés,J10,,465,,151,3.08,,
Nouveaux acceptés,J11,,392,,191,2.05,,
Nouveaux acceptés,J12,,197,,202,0.98,,
