Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,10,210,200,162,209.0,20.0,
Existants,J2,159,137,-22,105,136.0,-0.14,
Existants,J3,167,168,1,129,167.0,0.01,
Existants,J4,27,0,-27,194,-1.0,-1.0,
Existants,J5,148,124,-24,79,123.0,-0.16,
Nouveaux acceptés,J6,,244,,262,0.93,,
Nouveaux acceptés,J7,,212,,186,1.14,,
Nouveaux acceptés,J8,,100,,136,0.74,,
Nouveaux acceptés,J9,,116,,175,0.66,,
Nouveaux acceptés,J10,,11,,128,0.09,,
Nouveaux acceptés,J11,,342,,200,1.71,,
Nouveaux acceptés,J12,,145,,172,0.84,,
