Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,264,97,105,263.0,0.58,
Existants,J3,175,358,183,129,357.0,1.05,
Existants,J4,0,16,16,194,15.0,,
Existants,J5,156,251,95,79,250.0,0.61,
Nouveaux acceptés,J6,,68,,205,0.33,,
Nouveaux acceptés,J7,,154,,261,0.59,,
Nouveaux acceptés,J8,,152,,211,0.72,,
Nouveaux acceptés,J9,,74,,250,0.3,,
Nouveaux acceptés,J10,,0,,234,0.0,,
Nouveaux acceptés,J11,,84,,195,0.43,,
Nouveaux acceptés,J12,,142,,247,0.57,,
