Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,224,57,105,223.0,0.34,
Existants,J3,175,303,128,129,302.0,0.73,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,314,158,79,313.0,1.01,
Nouveaux acceptés,J6,,100,,223,0.45,,
Nouveaux acceptés,J7,,253,,173,1.46,,
Nouveaux acceptés,J8,,68,,212,0.32,,
Nouveaux acceptés,J9,,26,,165,0.16,,
Nouveaux acceptés,J10,,29,,206,0.14,,
Nouveaux acceptés,J11,,49,,237,0.21,,
Nouveaux acceptés,J12,,243,,209,1.16,,
