Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,32,32,0,112,31.0,0.0,
Existants,J2,109,103,-6,115,102.0,-0.06,
Existants,J3,101,90,-11,164,89.0,-0.11,
Existants,J4,0,0,0,152,-1.0,,
Nouveaux acceptés,J5,,142,,304,0.47,,
Nouveaux acceptés,J6,,155,,199,0.78,,
Nouveaux acceptés,J7,,131,,229,0.57,,
Nouveaux acceptés,J8,,41,,252,0.16,,
Nouveaux acceptés,J9,,154,,257,0.6,,
Nouveaux acceptés,J10,,289,,242,1.19,,
Nouveaux acceptés,J11,,162,,243,0.67,,
