Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,155,-1.0,,
Existants,J2,0,0,0,221,-1.0,,
Existants,J3,0,0,0,115,-1.0,,
Existants,J4,422,500,78,228,499.0,0.18,
Existants,J5,0,0,0,203,-1.0,,
Existants,J6,353,347,-6,139,346.0,-0.02,
Existants,J7,0,0,0,99,-1.0,,
Existants,J8,164,233,69,196,232.0,0.42,
Existants,J9,155,33,-122,234,32.0,-0.79,
Existants,J10,453,447,-6,98,446.0,-0.01,
Existants,J11,240,178,-62,225,177.0,-0.26,
Nouveaux acceptés,J12,,175,,419,0.42,,
Nouveaux acceptés,J13,,233,,395,0.59,,
Nouveaux acceptés,J14,,405,,417,0.97,,
Nouveaux acceptés,J15,,410,,482,0.85,,
