Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,14,14,0,179,13.0,0.0,
Existants,J2,130,130,0,159,129.0,0.0,
Existants,J3,0,0,0,182,-1.0,,
Existants,J4,91,91,0,162,90.0,0.0,
Existants,J5,221,221,0,116,220.0,0.0,
Existants,J6,258,293,35,172,292.0,0.14,
Existants,J7,0,0,0,61,-1.0,,
Existants,J8,293,436,143,167,435.0,0.49,
Existants,J9,415,527,112,114,526.0,0.27,
Existants,J10,0,0,0,162,-1.0,,
Nouveaux acceptés,J11,,185,,515,0.36,,
Nouveaux acceptés,J12,,486,,570,0.85,,
Nouveaux acceptés,J13,,476,,530,0.9,,
Nouveaux acceptés,J14,,0,,498,0.0,,
Nouveaux acceptés,J15,,404,,512,0.79,,
Nouveaux acceptés,J16,,273,,489,0.56,,
Nouveaux acceptés,J17,,360,,477,0.75,,
Nouveaux acceptés,J18,,30,,522,0.06,,
