Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,214,214,0,96,213.0,0.0,
Existants,J2,0,0,0,102,-1.0,,
Existants,J3,163,163,0,73,162.0,0.0,
Existants,J4,0,0,0,99,-1.0,,
Existants,J5,172,172,0,198,171.0,0.0,
Existants,J6,0,0,0,175,-1.0,,
Existants,J7,54,54,0,210,53.0,0.0,
Existants,J8,345,345,0,87,344.0,0.0,
Existants,J9,373,373,0,173,372.0,0.0,
Existants,J10,0,0,0,109,-1.0,,
Nouveaux acceptés,J11,,108,,676,0.16,,
Nouveaux acceptés,J12,,282,,676,0.42,,
Nouveaux acceptés,J13,,0,,612,0.0,,
Nouveaux acceptés,J14,,216,,666,0.32,,
Nouveaux acceptés,J15,,95,,639,0.15,,
Nouveaux acceptés,J16,,0,,591,0.0,,
Nouveaux acceptés,J17,,205,,635,0.32,,
Nouveaux acceptés,J18,,9,,654,0.01,,
Nouveaux acceptés,J19,,0,,621,0.0,,
