Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,60,60,0,92,59.0,0.0,
Existants,J2,149,149,0,173,148.0,0.0,
Existants,J3,5,5,0,81,4.0,0.0,
Existants,J4,0,0,0,123,-1.0,,
Existants,J5,127,127,0,99,126.0,0.0,
Nouveaux acceptés,J6,,184,,417,0.44,,
Nouveaux acceptés,J7,,0,,385,0.0,,
Nouveaux acceptés,J8,,540,,387,1.4,,
Nouveaux acceptés,J9,,454,,384,1.18,,
Nouveaux acceptés,J10,,314,,397,0.79,,
Nouveaux acceptés,J11,,159,,368,0.43,,
Nouveaux acceptés,J12,,100,,350,0.29,,
Nouveaux acceptés,J13,,383,,363,1.06,,
Nouveaux acceptés,J14,,3,,369,0.01,,
Nouveaux acceptés,J15,,276,,384,0.72,,
Nouveaux acceptés,J16,,486,,393,1.24,,
Nouveaux acceptés,J17,,310,,407,0.76,,
