Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,91,157,66,142,156.0,0.73,
Existants,J2,408,164,-244,141,163.0,-0.6,
Existants,J3,119,187,68,174,186.0,0.57,
Existants,J4,39,33,-6,126,32.0,-0.15,
Existants,J5,307,380,73,186,379.0,0.24,
Existants,J6,222,334,112,192,333.0,0.5,
Existants,J7,204,51,-153,150,50.0,-0.75,
Existants,J8,8,13,5,116,12.0,0.62,
Nouveaux acceptés,J9,,0,,308,0.0,,
Nouveaux acceptés,J10,,450,,296,1.52,,
Nouveaux acceptés,J11,,561,,243,2.31,,
Nouveaux acceptés,J12,,232,,169,1.37,,
Nouveaux acceptés,J13,,317,,287,1.1,,
Nouveaux acceptés,J14,,400,,257,1.56,,
Nouveaux acceptés,J15,,687,,175,3.93,,
