size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
l,portion_of_3_7,0.1,1,early,2,18,13,6,6/13,0.46,762,2039,715.0585000000001,1477.0585,36.70195058395621,-10.830000000000013
l,portion_of_3_7,0.1,1,middle,2,18,13,13,13/13,1.0,1104,5665,1509.5042000000003,2613.5042000000003,0.6501391249476001,-4.058
l,portion_of_3_7,0.1,1,late,2,18,13,13,13/13,1.0,1035,3440,953.2949000000002,1988.2949000000003,1.0624617079738528,0.0
l,portion_of_3_7,0.1,2,early,2,19,13,6,6/13,0.46,757,2054,702.5308,1459.5308,24.71125679102261,-11.517499999999998
l,portion_of_3_7,0.1,2,middle,2,19,13,13,13/13,1.0,1130,5599,1398.2525999999998,2528.2526,1.1084193750284612,120.32870000000001
l,portion_of_3_7,0.1,2,late,2,19,13,13,13/13,1.0,1102,4948,1259.2970999999998,2361.2971,0.4765080410288647,0.0
l,portion_of_3_7,0.1,3,early,2,15,11,5,5/11,0.45,436,547,216.12540000000004,652.1254,12.591886583017184,9.944
l,portion_of_3_7,0.1,3,middle,2,15,11,11,11/11,1.0,653,2131,528.0026,1181.0026,0.4512962499866262,-21.5117
l,portion_of_3_7,0.1,3,late,2,15,11,11,11/11,1.0,729,2178,590.8132,1319.8132,0.3881927079055458,0.0
l,portion_of_3_7,0.1,4,early,2,17,12,0,0/12,0.0,330,359,299.05,629.05,2.2803306670393795,0.0
l,portion_of_3_7,0.1,4,middle,2,17,12,5,5/12,0.42,537,1045,355.48350000000005,892.4835,23.204648000071757,-33.052800000000005
l,portion_of_3_7,0.1,4,late,2,17,12,12,12/12,1.0,878,3032,784.4949,1662.4949,0.4500371660105884,0.0
l,portion_of_3_7,0.1,5,early,2,17,12,1,1/12,0.08,369,293,247.9992,616.9992,1.8267380830366164,0.0
l,portion_of_3_7,0.1,5,middle,2,17,12,12,12/12,1.0,1085,3939,928.1379,2013.1379,1.105045915930532,-26.5683
l,portion_of_3_7,0.1,5,late,2,17,12,12,12/12,1.0,1083,4459,1027.8639,2110.8639000000003,1.0631916250567883,0.0
l,portion_of_3_7,0.1,6,middle,2,16,11,11,11/11,1.0,910,3578,1111.3786,2021.3786,0.9149005829822272,33.76070000000001
l,portion_of_3_7,0.1,6,late,2,16,11,11,11/11,1.0,936,2866,960.0684,1896.0684,0.4544022079790011,0.0
l,portion_of_3_7,0.1,7,early,2,20,14,7,7/14,0.5,699,1661,744.2611,1443.2611000000002,712.0351984170265,9.049099999999996
l,portion_of_3_7,0.1,7,middle,2,20,14,14,14/14,1.0,1027,5076,1612.262,2639.2619999999997,0.6109183329390362,10.8438
l,portion_of_3_7,0.1,7,late,2,20,14,14,14/14,1.0,1140,3863,1255.9329,2395.9329,0.5832790409913287,0.0
l,portion_of_3_7,0.1,8,early,2,19,13,11,11/13,0.85,1098,4821,1916.2619,3014.2619000000004,70.83772195805795,46.8126
l,portion_of_3_7,0.1,8,middle,2,19,13,13,13/13,1.0,1235,6131,2030.3616000000004,3265.3616,1.215393332997337,-99.315
l,portion_of_3_7,0.1,8,late,2,19,13,13,13/13,1.0,1160,4358,1667.4774,2827.4774,1.091309166979045,0.0
l,portion_of_3_7,0.1,9,early,2,16,11,2,2/11,0.18,390,660,356.37399999999997,746.374,2.2780327500076964,-4.545
