size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
l,same_costs,0.1,1,early,2,20,10,5,5/10,0.5,793,2986,2986.0,3779.0,38.711692000040784,72.0
l,same_costs,0.1,1,late,2,20,10,10,10/10,1.0,1195,4208,4208.0,5403.0,0.5109072079649195,0.0
l,same_costs,0.1,2,early,2,15,7,2,2/7,0.29,773,2459,2459.0,3232.0,3.206717125023715,144.0
l,same_costs,0.1,2,middle,2,15,7,3,3/7,0.43,807,2264,2264.0,3071.0,8.531944624963216,-56.0
l,same_costs,0.1,2,late,2,15,7,7,7/7,1.0,1099,2848,2848.0,3947.0,0.3180559580214321,0.0
l,same_costs,0.1,3,early,2,17,9,3,3/9,0.33,618,1447,1447.0,2065.0,3.993489291984588,28.0
l,same_costs,0.1,3,middle,2,17,9,9,9/9,1.0,807,2637,2637.0,3444.0,0.6389382920460775,-22.0
l,same_costs,0.1,3,late,2,17,9,9,9/9,1.0,946,2020,2020.0,2966.0,0.4147954999934882,0.0
l,same_costs,0.1,4,early,2,15,7,7,7/7,1.0,862,3966,3966.0,4828.0,1.1329196670558304,-79.0
l,same_costs,0.1,4,middle,2,15,7,3,3/7,0.43,685,1915,1915.0,2600.0,8.181303250021301,58.0
l,same_costs,0.1,4,late,2,15,7,6,6/7,0.86,813,2433,2433.0,3246.0,3.1896457920083776,77.0
l,same_costs,0.1,5,early,2,20,10,5,5/10,0.5,960,3363,3363.0,4323.0,88.33813958405517,-83.0
l,same_costs,0.1,5,middle,2,20,10,7,7/10,0.7,1217,4649,4649.0,5866.0,44.52174729201943,163.0
l,same_costs,0.1,5,late,2,20,10,10,10/10,1.0,1520,5927,5927.0,7447.0,1.1190226250328124,34.0
l,same_costs,0.1,6,early,2,20,10,1,1/10,0.1,636,1431,1431.0,2067.0,2.7998140839627013,60.0
l,same_costs,0.1,6,middle,2,20,10,4,4/10,0.4,733,1817,1817.0,2550.0,13.71600999997463,425.0
l,same_costs,0.1,6,late,2,20,10,10,10/10,1.0,1311,3692,3692.0,5003.0,0.4831077919807285,0.0
l,same_costs,0.1,7,early,2,19,9,5,5/9,0.56,718,2578,2578.0,3296.0,15.035877584014088,-45.0
l,same_costs,0.1,7,middle,2,19,9,9,9/9,1.0,956,3374,3374.0,4330.0,0.6763800419867039,15.0
l,same_costs,0.1,7,late,2,19,9,9,9/9,1.0,958,2236,2236.0,3194.0,0.5798115420620888,0.0
l,same_costs,0.1,8,early,2,19,9,5,5/9,0.56,955,3289,3289.0,4244.0,13.831273667048665,1.0
l,same_costs,0.1,8,middle,2,19,9,3,3/9,0.33,807,2826,2826.0,3633.0,14.17448649997823,125.0
l,same_costs,0.1,8,late,2,19,9,9,9/9,1.0,1240,4242,4242.0,5482.0,0.8388352090260014,70.0
l,same_costs,0.1,9,early,2,19,9,4,4/9,0.44,766,2233,2233.0,2999.0,26.55671820801217,86.0
l,same_costs,0.1,9,middle,2,19,9,7,7/9,0.78,931,3460,3460.0,4391.0,26.598837499972433,-79.0
l,same_costs,0.1,9,late,2,19,9,9,9/9,1.0,1157,4295,4295.0,5452.0,0.5342482089763507,37.0
l,same_costs,0.1,10,early,2,20,10,9,9/10,0.9,1212,7299,7299.0,8511.0,9.500335750053637,1018.0
l,same_costs,0.1,10,middle,2,20,10,9,9/10,0.9,1294,6754,6754.0,8048.0,3.850078667048365,140.0
l,same_costs,0.1,10,late,2,20,10,10,10/10,1.0,1356,5182,5182.0,6538.0,0.5742778339190409,0.0
l,same_costs,0.1,11,early,2,17,9,4,4/9,0.44,801,1866,1866.0,2667.0,16.516110000084154,-10.0
l,same_costs,0.1,11,middle,2,17,9,9,9/9,1.0,1135,3629,3629.0,4764.0,0.7039411250734702,36.0
l,same_costs,0.1,11,late,2,17,9,9,9/9,1.0,1198,3505,3505.0,4703.0,0.835161125054583,0.0
l,same_costs,0.1,12,early,2,15,7,3,3/7,0.43,720,2396,2396.0,3116.0,7.672155541018583,104.0
l,same_costs,0.1,12,middle,2,15,7,6,6/7,0.86,805,2738,2738.0,3543.0,3.7813760829158127,132.0
l,same_costs,0.1,12,late,2,15,7,7,7/7,1.0,966,2380,2380.0,3346.0,0.3240903750993311,0.0
l,same_costs,0.1,13,early,2,20,10,2,2/10,0.2,635,1919,1919.0,2554.0,16.585343457991257,11.0
l,same_costs,0.1,13,middle,2,20,10,8,8/10,0.8,1056,3926,3926.0,4982.0,11.507616415969096,290.0
l,same_costs,0.1,14,middle,2,20,10,10,10/10,1.0,1080,4703,4703.0,5783.0,0.773168292012997,95.0
l,same_costs,0.1,14,late,2,20,10,10,10/10,1.0,1172,3388,3388.0,4560.0,0.4270773340249434,0.0
