size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
m,portion_of_3_7,0.1,1,early,2,9,6,6,6/6,1.0,405,821,219.57370000000003,624.5737,3.6138595000375062,-68.16269999999999
m,portion_of_3_7,0.1,1,middle,2,9,6,6,6/6,1.0,454,1133,333.8282,787.8281999999999,4.1077531250193715,-24.157
m,portion_of_3_7,0.1,1,late,2,9,6,6,6/6,1.0,443,786,256.5804,699.5804,3.6926794999744743,0.0
m,portion_of_3_7,0.1,2,early,2,10,7,0,0/7,0.0,228,113,99.0335,327.0335,11.961464666062966,0.0
m,portion_of_3_7,0.1,2,middle,2,10,7,7,7/7,1.0,753,2050,563.7482,1316.7482,6.733874083030969,-5.1234
m,portion_of_3_7,0.1,2,late,2,10,7,4,4/7,0.57,528,629,260.7548,788.7547999999999,27.742958790971898,0.0
m,portion_of_3_7,0.1,3,early,2,8,6,3,3/6,0.5,237,121,11.0528,248.0528,12.59600716701243,0.0
m,portion_of_3_7,0.1,3,middle,2,8,6,6,6/6,1.0,420,627,146.1329,566.1329000000001,3.4241394579876214,0.0
m,portion_of_3_7,0.1,3,late,2,8,6,6,6/6,1.0,446,638,149.8059,595.8059000000001,3.5354045410640538,0.0
m,portion_of_3_7,0.1,4,early,2,10,7,2,2/7,0.29,394,440,160.8408,554.8408,13.800621874979695,0.0
m,portion_of_3_7,0.1,4,middle,2,10,7,4,4/7,0.57,512,791,181.0145,693.0145,40.619774582912214,4.6785
m,portion_of_3_7,0.1,4,late,2,10,7,7,7/7,1.0,607,1144,310.1739,917.1739,5.212731375009753,0.0
m,portion_of_3_7,0.1,5,early,2,10,7,4,4/7,0.57,501,713,181.0454,682.0454,28.047861834056675,-14.5712
m,portion_of_3_7,0.1,5,middle,2,10,7,7,7/7,1.0,628,1318,296.3003,924.3003,5.716389290988445,-35.655
m,portion_of_3_7,0.1,5,late,2,10,7,7,7/7,1.0,591,1390,399.27810000000005,990.2781,5.40969787503127,0.0
m,portion_of_3_7,0.1,6,early,2,7,5,3,3/5,0.6,431,554,118.499,549.499,18.95990370796062,0.0
m,portion_of_3_7,0.1,6,middle,2,7,5,5,5/5,1.0,517,955,226.3133,743.3133,4.119367957930081,0.9511
m,portion_of_3_7,0.1,6,late,2,7,5,1,1/5,0.2,242,64,49.8184,291.8184,7.492867375025526,0.0
m,portion_of_3_7,0.1,7,early,2,10,7,1,1/7,0.14,288,150,142.56,430.56,12.428157999995165,1.9008
m,portion_of_3_7,0.1,7,middle,2,10,7,2,2/7,0.29,458,358,178.0182,636.0182,13.778083499986678,0.0
m,portion_of_3_7,0.1,7,late,2,10,7,6,6/7,0.86,572,832,318.5131,890.5131,13.70896816707682,11.4048
m,portion_of_3_7,0.1,8,early,2,8,6,6,6/6,1.0,327,756,259.0933,586.0933,3.201126000029035,-30.548499999999997
m,portion_of_3_7,0.1,8,middle,2,8,6,6,6/6,1.0,360,553,208.4386,568.4386,2.9721487920032814,0.0
m,portion_of_3_7,0.1,8,late,2,8,6,6,6/6,1.0,360,464,184.38530000000003,544.3853,2.9502854589372873,0.0
m,portion_of_3_7,0.1,9,early,2,9,6,6,6/6,1.0,573,1499,438.5977,1011.5977,4.795951125095598,-47.0668
m,portion_of_3_7,0.1,9,middle,2,9,6,6,6/6,1.0,568,1138,385.647,953.647,4.77144954202231,0.0
m,portion_of_3_7,0.1,9,late,2,9,6,6,6/6,1.0,537,868,309.9692,846.9692,4.454544249922037,0.0
m,portion_of_3_7,0.1,10,early,2,8,6,6,6/6,1.0,258,420,108.94,366.94,3.235328459064476,-6.265600000000001
m,portion_of_3_7,0.1,10,middle,2,8,6,6,6/6,1.0,283,345,56.5141,339.5141,2.6138611250789836,-18.9354
m,portion_of_3_7,0.1,10,late,2,8,6,6,6/6,1.0,327,474,83.4508,410.4508,3.209674083045684,0.0
m,portion_of_3_7,0.1,11,early,2,10,7,2,2/7,0.29,314,198,58.7309,372.7309,17.766887417063117,0.0
m,portion_of_3_7,0.1,11,middle,2,10,7,7,7/7,1.0,661,1426,234.6894,895.6894,5.84117333299946,0.0
m,portion_of_3_7,0.1,11,late,2,10,7,7,7/7,1.0,728,1575,266.4353,994.4353,5.96739725000225,0.0
m,portion_of_3_7,0.1,12,early,2,7,5,0,0/5,0.0,159,24,22.5468,181.5468,5.449922000057995,0.0
m,portion_of_3_7,0.1,12,middle,2,7,5,5,5/5,1.0,260,177,37.8363,297.8363,2.5299664170015603,-16.9398
m,portion_of_3_7,0.1,12,late,2,7,5,5,5/5,1.0,330,232,68.3426,398.3426,2.888273083954118,0.0
m,portion_of_3_7,0.1,13,early,2,9,6,5,5/6,0.83,416,731,309.4572,725.4572000000001,10.244449749938212,-3.2064999999999912
m,portion_of_3_7,0.1,13,middle,2,9,6,6,6/6,1.0,418,653,292.78990000000005,710.7899,3.753588584018871,0.0
m,portion_of_3_7,0.1,13,late,2,9,6,6,6/6,1.0,418,666,284.2758,702.2758,3.658646249910817,0.0
m,portion_of_3_7,0.1,14,early,2,9,6,6,6/6,1.0,621,1235,195.5222,816.5222,5.29426133306697,-106.72730000000001
m,portion_of_3_7,0.1,14,middle,2,9,6,6,6/6,1.0,673,1334,301.56579999999997,974.5658,5.697856832994148,-0.7571000000000012
m,portion_of_3_7,0.1,14,late,2,9,6,6,6/6,1.0,734,1313,288.57169999999996,1022.5717,5.700624790973961,0.0
m,portion_of_3_7,0.1,15,early,2,7,5,2,2/5,0.4,170,95,25.2205,195.2205,6.132474833051674,0.0
m,portion_of_3_7,0.1,15,middle,2,7,5,5,5/5,1.0,341,280,74.4089,415.4089,2.837648249929771,0.0
m,portion_of_3_7,0.1,15,late,2,7,5,5,5/5,1.0,348,284,64.9275,412.9275,2.964733542059548,0.0
m,portion_of_3_7,0.1,16,early,2,7,5,0,0/5,0.0,153,26,23.2258,176.2258,5.399974499945529,0.0
m,portion_of_3_7,0.1,16,middle,2,7,5,1,1/5,0.2,271,42,24.4786,295.47860000000003,15.002452209009787,0.0
m,portion_of_3_7,0.1,16,late,2,7,5,5,5/5,1.0,485,561,88.3553,573.3552999999999,3.674390792031773,0.0
m,portion_of_3_7,0.1,17,early,2,10,7,7,7/7,1.0,589,1993,589.4096,1178.4096,5.838858250062913,-67.7738
m,portion_of_3_7,0.1,17,middle,2,10,7,7,7/7,1.0,566,1497,463.9833,1029.9833,5.306148082949221,-64.1046
m,portion_of_3_7,0.1,17,late,2,10,7,7,7/7,1.0,545,1075,339.57370000000003,884.5737,5.102514916914515,-4.6605
m,portion_of_3_7,0.1,18,early,2,8,6,6,6/6,1.0,361,720,179.0739,540.0739,3.174155958928168,-23.0076
m,portion_of_3_7,0.1,18,middle,2,8,6,6,6/6,1.0,379,569,123.3457,502.3457,3.278896584059112,0.0
m,portion_of_3_7,0.1,18,late,2,8,6,6,6/6,1.0,389,667,173.56590000000003,562.5659,3.235305416979827,0.0
m,portion_of_3_7,0.1,19,early,2,8,6,1,1/6,0.17,195,40,8.6,203.6,7.4823125830153,0.0
m,portion_of_3_7,0.1,19,middle,2,8,6,3,3/6,0.5,375,232,54.4418,429.4418,23.434234749991447,0.0
m,portion_of_3_7,0.1,19,late,2,8,6,6,6/6,1.0,514,757,219.1859,733.1859,4.128571750014089,0.0
m,portion_of_3_7,0.1,20,early,2,8,6,0,0/6,0.0,138,19,17.267200000000003,155.2672,7.712778458953835,0.0
m,portion_of_3_7,0.1,20,middle,2,8,6,5,5/6,0.83,441,499,93.9879,534.9879,9.52275370899588,0.0
m,portion_of_3_7,0.1,20,late,2,8,6,6,6/6,1.0,503,718,146.6159,649.6159,3.952817082987167,0.0
m,portion_of_3_7,0.2,1,early,2,9,6,6,6/6,1.0,405,821,219.57370000000003,624.5737,3.670953541994095,-68.16269999999999
m,portion_of_3_7,0.2,1,middle,2,9,6,6,6/6,1.0,454,1133,333.8282,787.8281999999999,4.022735291044228,-24.157
m,portion_of_3_7,0.2,1,late,2,9,6,6,6/6,1.0,443,786,256.5804,699.5804,3.682846874929965,0.0
m,portion_of_3_7,0.2,2,early,2,10,7,0,0/7,0.0,228,113,99.0335,327.0335,11.861615458969029,0.0
m,portion_of_3_7,0.2,2,middle,2,10,7,7,7/7,1.0,753,2050,563.7482,1316.7482,6.723245084052905,-5.1234
m,portion_of_3_7,0.2,2,late,2,10,7,5,5/7,0.71,579,883,308.7517,887.7517,27.126117250067185,17.078
m,portion_of_3_7,0.2,3,early,2,8,6,3,3/6,0.5,237,121,11.0528,248.0528,12.50207925005816,0.0
m,portion_of_3_7,0.2,3,middle,2,8,6,6,6/6,1.0,420,627,146.1329,566.1329000000001,3.4228082499466836,0.0
