size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
m,same_costs,0.1,1,early,2,7,3,1,1/3,0.33,209,121,121.0,330.0,5.720284042065032,0.0
m,same_costs,0.1,1,middle,2,7,3,2,2/3,0.67,239,289,289.0,528.0,12.580643457942642,5.0
m,same_costs,0.1,1,late,2,7,3,3,3/3,1.0,260,155,155.0,415.0,2.6566109999548644,0.0
m,same_costs,0.1,2,early,2,8,4,2,2/4,0.5,454,708,708.0,1162.0,13.756979124969805,25.0
m,same_costs,0.1,2,middle,2,8,4,1,1/4,0.25,345,323,323.0,668.0,13.6277277499903,28.0
m,same_costs,0.1,2,late,2,8,4,4,4/4,1.0,538,635,635.0,1173.0,5.029558500042185,0.0
m,same_costs,0.1,3,early,2,8,4,2,2/4,0.5,291,472,472.0,763.0,26.515027833054777,3.0
m,same_costs,0.1,3,middle,2,8,4,4,4/4,1.0,425,519,519.0,944.0,3.9811154579510912,0.0
m,same_costs,0.1,3,late,2,8,4,4,4/4,1.0,401,381,381.0,782.0,3.763448833022266,0.0
m,same_costs,0.1,4,early,2,8,4,3,3/4,0.75,377,695,695.0,1072.0,15.27250391698908,14.0
m,same_costs,0.1,4,middle,2,8,4,3,3/4,0.75,446,752,752.0,1198.0,10.198109874967486,-2.0
m,same_costs,0.1,4,late,2,8,4,4,4/4,1.0,440,393,393.0,833.0,4.095117041026242,0.0
m,same_costs,0.1,5,early,2,8,4,3,3/4,0.75,453,677,677.0,1130.0,16.23556333302986,16.0
m,same_costs,0.1,5,middle,2,8,4,0,0/4,0.0,283,189,189.0,472.0,8.588078749948181,0.0
m,same_costs,0.1,5,late,2,8,4,4,4/4,1.0,524,522,522.0,1046.0,4.862597999977879,5.0
m,same_costs,0.1,6,early,2,7,3,2,2/3,0.67,350,517,517.0,867.0,8.31076295801904,15.0
m,same_costs,0.1,6,middle,2,7,3,1,1/3,0.33,286,198,198.0,484.0,9.869943125057034,0.0
m,same_costs,0.1,6,late,2,7,3,3,3/3,1.0,416,256,256.0,672.0,3.619337209034711,0.0
m,same_costs,0.1,7,early,2,9,5,1,1/5,0.2,108,8,8.0,116.0,6.141693375073373,-1.0
m,same_costs,0.1,7,middle,2,9,5,1,1/5,0.2,162,9,9.0,171.0,10.101018292014489,0.0
m,same_costs,0.1,7,late,2,9,5,5,5/5,1.0,334,325,325.0,659.0,3.0131760829826817,0.0
m,same_costs,0.1,8,early,2,10,5,1,1/5,0.2,415,573,573.0,988.0,13.837105999933556,10.0
m,same_costs,0.1,8,middle,2,10,5,3,3/5,0.6,464,925,925.0,1389.0,25.643042791984044,-12.0
m,same_costs,0.1,8,late,2,10,5,5,5/5,1.0,628,844,844.0,1472.0,5.567769084009342,0.0
m,same_costs,0.1,9,early,2,9,5,2,2/5,0.4,415,724,724.0,1139.0,15.857679791981354,-82.0
m,same_costs,0.1,9,middle,2,9,5,3,3/5,0.6,539,1124,1124.0,1663.0,48.247967707924545,42.0
m,same_costs,0.1,9,late,2,9,5,5,5/5,1.0,536,750,750.0,1286.0,4.7021813340252265,6.0
m,same_costs,0.1,10,early,2,10,5,1,1/5,0.2,295,265,265.0,560.0,20.899315040907823,6.0
m,same_costs,0.1,10,middle,2,10,5,2,2/5,0.4,323,299,299.0,622.0,18.260309708071873,40.0
m,same_costs,0.1,10,late,2,10,5,5,5/5,1.0,467,539,539.0,1006.0,8.362296874984168,0.0
m,same_costs,0.1,11,early,2,8,4,4,4/4,1.0,458,846,846.0,1304.0,4.780280917068012,-5.0
m,same_costs,0.1,11,middle,2,8,4,2,2/4,0.5,413,470,470.0,883.0,12.287552833906377,67.0
m,same_costs,0.1,11,late,2,8,4,4,4/4,1.0,492,376,376.0,868.0,4.532455208012834,0.0
