size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
s,portion_of_3_7,0.1,1,early,2,4,3,3,3/3,1.0,245,192,45.37519999999999,290.3752,1.9416622499993537,0.0
s,portion_of_3_7,0.1,1,middle,2,4,3,3,3/3,1.0,260,122,32.388299999999994,292.3883,1.9820657499949448,0.0
s,portion_of_3_7,0.1,1,late,2,4,3,3,3/3,1.0,255,173,48.8557,303.8557,1.942517083021812,0.0
s,portion_of_3_7,0.1,2,early,2,4,3,2,2/3,0.67,189,59,20.414,209.414,3.147232040995732,0.0
s,portion_of_3_7,0.1,2,middle,2,4,3,3,3/3,1.0,283,180,59.8659,342.8659,1.837818582978798,0.0
s,portion_of_3_7,0.1,2,late,2,4,3,1,1/3,0.33,152,0,0.0,152.0,5.8865232079988346,0.0
s,portion_of_3_7,0.1,3,early,2,4,3,3,3/3,1.0,184,105,23.591,207.591,1.467766334011685,0.0
s,portion_of_3_7,0.1,3,middle,2,4,3,3,3/3,1.0,181,32,12.7648,193.7648,1.4810704169794917,0.0
s,portion_of_3_7,0.1,3,late,2,4,3,3,3/3,1.0,196,20,3.744,199.744,1.503170207986841,0.0
s,portion_of_3_7,0.1,4,early,2,4,3,3,3/3,1.0,266,187,34.5188,300.5188,2.014151249983115,0.0
s,portion_of_3_7,0.1,4,middle,2,4,3,3,3/3,1.0,256,99,9.2142,265.2142,1.9648970830021424,0.0
s,portion_of_3_7,0.1,4,late,2,4,3,3,3/3,1.0,290,109,14.042,304.042,1.9682259999972305,0.0
s,portion_of_3_7,0.1,5,early,2,5,3,1,1/3,0.33,152,57,13.7142,165.7142,4.462944958999287,-9.719
s,portion_of_3_7,0.1,5,middle,2,5,3,3,3/3,1.0,363,377,73.3291,436.3291,2.8359104589908384,-0.9719
s,portion_of_3_7,0.1,5,late,2,5,3,3,3/3,1.0,370,107,15.9058,385.9058,2.8723945420060772,0.0
s,portion_of_3_7,0.1,6,early,2,5,3,0,0/3,0.0,167,53,52.1679,219.1679,4.767200707981829,0.0
s,portion_of_3_7,0.1,6,middle,2,5,3,2,2/3,0.67,236,145,63.3597,299.3597,5.885510000021895,0.0
s,portion_of_3_7,0.1,6,late,2,5,3,3,3/3,1.0,348,102,55.5292,403.5292,2.9205559589900076,0.0
s,portion_of_3_7,0.1,7,early,2,5,3,2,2/3,0.67,334,335,93.4852,427.4852,5.1154750419955235,0.0
s,portion_of_3_7,0.1,7,middle,2,5,3,2,2/3,0.67,334,288,88.5693,422.5693,5.149520292005036,0.0
s,portion_of_3_7,0.1,7,late,2,5,3,3,3/3,1.0,369,224,76.9639,445.9639,2.4960557089943904,0.0
s,portion_of_3_7,0.1,8,early,2,5,3,3,3/3,1.0,250,212,38.637699999999995,288.6377,1.7969258330122102,-18.5265
s,portion_of_3_7,0.1,8,middle,2,5,3,1,1/3,0.33,167,18,14.499,181.499,4.134252582996851,-4.0275
s,portion_of_3_7,0.1,8,late,2,5,3,3,3/3,1.0,247,109,27.863,274.863,1.811386249988573,-4.0275
s,portion_of_3_7,0.1,9,early,2,5,3,2,2/3,0.67,295,175,40.1176,335.1176,5.141340083006071,-37.5847
s,portion_of_3_7,0.1,9,middle,2,5,3,2,2/3,0.67,189,41,9.1048,198.1048,5.189568457979476,-37.5847
