size,cost_variant,delta_ratio,instance,cut_time_pos,nb_orders,nb_jobs,nb_new_jobs,nb_accepted_new_jobs,accepted_over_new,acceptance_ratio,cmax,total_tardiness,weighted_tardiness,obj,computing_time,delta_tjE
s,same_costs,0.1,1,early,2,5,3,3,3/3,1.0,289,241,241.0,530.0,2.67519416694995,0.0
s,same_costs,0.1,1,middle,2,5,3,3,3/3,1.0,295,215,215.0,510.0,2.557767749996856,0.0
s,same_costs,0.1,1,late,2,5,3,3,3/3,1.0,338,92,92.0,430.0,2.5726981250336394,0.0
s,same_costs,0.1,2,early,2,5,3,3,3/3,1.0,356,357,357.0,713.0,3.420161332935095,-42.0
s,same_costs,0.1,2,middle,2,5,3,1,1/3,0.33,262,133,133.0,395.0,6.264034583000466,0.0
s,same_costs,0.1,2,late,2,5,3,3,3/3,1.0,393,296,296.0,689.0,3.367600500001572,0.0
s,same_costs,0.1,3,early,2,3,1,1,1/1,1.0,253,182,182.0,435.0,1.9754322080407292,5.0
s,same_costs,0.1,3,middle,2,3,1,1,1/1,1.0,247,71,71.0,318.0,1.9088337920838967,-1.0
s,same_costs,0.1,3,late,2,3,1,1,1/1,1.0,248,62,62.0,310.0,1.880342666991055,0.0
s,same_costs,0.1,4,early,2,5,3,3,3/3,1.0,333,418,418.0,751.0,2.94023766706232,0.0
s,same_costs,0.1,4,middle,2,5,3,1,1/3,0.33,185,51,51.0,236.0,4.941532541997731,0.0
s,same_costs,0.1,4,late,2,5,3,3,3/3,1.0,324,133,133.0,457.0,2.6479054170195013,0.0
s,same_costs,0.1,5,early,2,3,1,0,0/1,0.0,136,22,22.0,158.0,1.4478232079418376,0.0
s,same_costs,0.1,5,middle,2,3,1,0,0/1,0.0,136,22,22.0,158.0,1.386776958941482,0.0
s,same_costs,0.1,5,late,2,3,1,1,1/1,1.0,177,22,22.0,199.0,1.4525912079261616,0.0
