Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,76,0,-76,162,-1.0,-1.0,
Existants,J2,198,153,-45,105,152.0,-0.23,
Existants,J3,138,381,243,129,380.0,1.76,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,165,95,-70,79,94.0,-0.42,
Nouveaux acceptés,J6,,391,,182,2.15,,
Nouveaux acceptés,J7,,374,,130,2.88,,
Nouveaux acceptés,J8,,25,,186,0.13,,
Nouveaux acceptés,J9,,173,,136,1.27,,
Nouveaux acceptés,J10,,216,,175,1.23,,
Nouveaux acceptés,J11,,187,,128,1.46,,
Nouveaux acceptés,J12,,477,,159,3.0,,
Nouveaux acceptés,J13,,48,,169,0.28,,
Nouveaux acceptés,J14,,80,,172,0.47,,
Nouveaux acceptés,J15,,242,,155,1.56,,
