Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,169,2,105,168.0,0.01,
Existants,J3,175,327,152,129,326.0,0.87,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,158,2,79,157.0,0.01,
Nouveaux acceptés,J6,,262,,257,1.02,,
Nouveaux acceptés,J7,,54,,261,0.21,,
Nouveaux acceptés,J8,,20,,211,0.09,,
Nouveaux acceptés,J9,,200,,250,0.8,,
Nouveaux acceptés,J10,,0,,203,0.0,,
Nouveaux acceptés,J11,,77,,244,0.32,,
Nouveaux acceptés,J12,,130,,275,0.47,,
Nouveaux acceptés,J13,,21,,247,0.09,,
