Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,0,0,0,162,-1.0,,
Existants,J2,167,148,-19,105,147.0,-0.11,
Existants,J3,175,296,121,129,295.0,0.69,
Existants,J4,0,0,0,194,-1.0,,
Existants,J5,156,135,-21,79,134.0,-0.13,
Nouveaux acceptés,J6,,371,,219,1.69,,
Nouveaux acceptés,J7,,304,,160,1.9,,
Nouveaux acceptés,J8,,252,,167,1.51,,
Nouveaux acceptés,J9,,0,,223,0.0,,
Nouveaux acceptés,J10,,74,,173,0.43,,
Nouveaux acceptés,J11,,90,,212,0.42,,
Nouveaux acceptés,J12,,331,,196,1.69,,
Nouveaux acceptés,J13,,0,,209,0.0,,
