Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,42,0,-42,162,-1.0,-1.0,
Existants,J2,154,182,28,105,181.0,0.18,
Existants,J3,157,256,99,129,255.0,0.63,
Existants,J4,59,0,-59,194,-1.0,-1.0,
Existants,J5,131,139,8,79,138.0,0.06,
Nouveaux acceptés,J6,,176,,105,1.68,,
Nouveaux acceptés,J7,,298,,113,2.64,,
Nouveaux acceptés,J8,,301,,78,3.86,,
Nouveaux acceptés,J9,,232,,104,2.23,,
Nouveaux acceptés,J10,,224,,118,1.9,,
Nouveaux acceptés,J11,,326,,105,3.1,,
