Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,23,23,0,81,22.0,0.0,
Existants,J2,40,40,0,112,39.0,0.0,
Existants,J3,175,175,0,82,174.0,0.0,
Existants,J4,88,88,0,115,87.0,0.0,
Existants,J5,0,0,0,123,-1.0,,
Existants,J6,212,212,0,114,211.0,0.0,
Existants,J7,0,0,0,122,-1.0,,
Existants,J8,0,0,0,100,-1.0,,
Existants,J9,237,237,0,131,236.0,0.0,
Nouveaux acceptés,J10,,615,,545,1.13,,
Nouveaux acceptés,J11,,580,,487,1.19,,
Nouveaux acceptés,J12,,776,,539,1.44,,
Nouveaux acceptés,J13,,422,,554,0.76,,
Nouveaux acceptés,J14,,636,,574,1.11,,
Nouveaux acceptés,J15,,316,,475,0.67,,
Nouveaux acceptés,J16,,446,,459,0.97,,
Nouveaux acceptés,J17,,351,,481,0.73,,
Nouveaux acceptés,J18,,0,,547,0.0,,
Nouveaux acceptés,J19,,276,,483,0.57,,
Nouveaux acceptés,J20,,552,,564,0.98,,
Nouveaux acceptés,J21,,427,,526,0.81,,
Nouveaux acceptés,J22,,0,,529,0.0,,
Nouveaux acceptés,J23,,818,,560,1.46,,
Nouveaux acceptés,J24,,0,,567,0.0,,
Nouveaux acceptés,J25,,439,,566,0.78,,
Nouveaux acceptés,J26,,184,,460,0.4,,
Nouveaux acceptés,J27,,380,,519,0.73,,
Nouveaux acceptés,J28,,578,,483,1.2,,
Nouveaux acceptés,J29,,710,,534,1.33,,
Nouveaux acceptés,J30,,600,,566,1.06,,
