Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,23,23,0,81,22.0,0.0,
Existants,J2,40,40,0,112,39.0,0.0,
Existants,J3,175,175,0,82,174.0,0.0,
Existants,J4,88,88,0,115,87.0,0.0,
Existants,J5,0,0,0,123,-1.0,,
Existants,J6,212,264,52,114,263.0,0.25,
Existants,J7,0,0,0,122,-1.0,,
Existants,J8,0,0,0,100,-1.0,,
Existants,J9,237,542,305,131,541.0,1.29,
Nouveaux acceptés,J10,,457,,313,1.46,,
Nouveaux acceptés,J11,,991,,454,2.18,,
Nouveaux acceptés,J12,,1002,,503,1.99,,
Nouveaux acceptés,J13,,108,,380,0.28,,
Nouveaux acceptés,J14,,55,,367,0.15,,
Nouveaux acceptés,J15,,741,,322,2.3,,
Nouveaux acceptés,J16,,1022,,574,1.78,,
Nouveaux acceptés,J17,,987,,573,1.72,,
Nouveaux acceptés,J18,,20,,293,0.07,,
Nouveaux acceptés,J19,,535,,522,1.02,,
Nouveaux acceptés,J20,,183,,358,0.51,,
Nouveaux acceptés,J21,,244,,423,0.58,,
Nouveaux acceptés,J22,,287,,572,0.5,,
Nouveaux acceptés,J23,,843,,413,2.04,,
Nouveaux acceptés,J24,,621,,540,1.15,,
Nouveaux acceptés,J25,,0,,323,0.0,,
Nouveaux acceptés,J26,,758,,523,1.45,,
Nouveaux acceptés,J27,,544,,371,1.47,,
Nouveaux acceptés,J28,,946,,493,1.92,,
Nouveaux acceptés,J29,,407,,408,1.0,,
Nouveaux acceptés,J30,,307,,514,0.6,,
