Pool,job,Tj_initial,Tj_final,Diff_Tj,dj,(Tj-dj)/dj,((Tj_final)-(Tj_initial))/(Tj_initial)
Existants,J1,1057,740,-317,167,739.0,-0.3,
Existants,J2,88,60,-28,180,59.0,-0.32,
Existants,J3,0,333,333,223,332.0,,
Existants,J4,687,26,-661,300,25.0,-0.96,
Existants,J5,797,1220,423,153,1219.0,0.53,
Existants,J6,0,0,0,389,-1.0,,
Existants,J7,30,30,0,94,29.0,0.0,
Existants,J8,985,920,-65,388,919.0,-0.07,
Existants,J9,570,542,-28,248,541.0,-0.05,
Existants,J10,124,265,141,325,264.0,1.14,
Existants,J11,17,123,106,402,122.0,6.24,
Existants,J12,369,104,-265,366,103.0,-0.72,
Existants,J13,285,149,-136,298,148.0,-0.48,
Existants,J14,47,0,-47,317,-1.0,-1.0,
Existants,J15,564,0,-564,489,-1.0,-1.0,
Existants,J16,900,867,-33,216,866.0,-0.04,
Existants,J17,0,0,0,406,-1.0,,
Existants,J18,205,687,482,448,686.0,2.35,
Existants,J19,0,388,388,376,387.0,,
Existants,J20,995,1181,186,315,1180.0,0.19,
Existants,J21,0,0,0,264,-1.0,,
Existants,J22,0,0,0,302,-1.0,,
Nouveaux acceptés,J23,,270,,371,0.73,,
Nouveaux acceptés,J24,,917,,546,1.68,,
