size,instance,path,status,nb_orders,nb_jobs,cmax,total_delay,computation_time_sec,error
s,instance_1.json,data/orders_instances/test/s/instance_1.json,OK,2,6,285,387,0.0406308330129832,
s,instance_10.json,data/orders_instances/test/s/instance_10.json,OK,2,2,111,0,0.003704542003106326,
s,instance_11.json,data/orders_instances/test/s/instance_11.json,OK,2,4,69,0,0.01234266598476097,
s,instance_12.json,data/orders_instances/test/s/instance_12.json,OK,2,6,355,303,0.04736945795593783,
s,instance_13.json,data/orders_instances/test/s/instance_13.json,OK,2,2,114,11,0.003965874959249049,
s,instance_14.json,data/orders_instances/test/s/instance_14.json,OK,2,6,255,158,0.03182100004050881,
s,instance_15.json,data/orders_instances/test/s/instance_15.json,OK,2,6,349,378,0.040844583010766655,
s,instance_16.json,data/orders_instances/test/s/instance_16.json,OK,2,2,97,0,0.006739709002431482,
s,instance_17.json,data/orders_instances/test/s/instance_17.json,OK,2,4,164,49,0.0297813750221394,
s,instance_18.json,data/orders_instances/test/s/instance_18.json,OK,2,2,142,0,0.005841500009410083,
s,instance_19.json,data/orders_instances/test/s/instance_19.json,OK,2,2,136,0,0.0036801249952986836,
s,instance_2.json,data/orders_instances/test/s/instance_2.json,OK,2,2,108,0,0.00884358398616314,
s,instance_20.json,data/orders_instances/test/s/instance_20.json,OK,2,2,129,0,0.004080166982021183,
s,instance_21.json,data/orders_instances/test/s/instance_21.json,OK,2,6,238,271,0.029033083003014326,
s,instance_22.json,data/orders_instances/test/s/instance_22.json,OK,2,4,129,7,0.016571832995396107,
s,instance_23.json,data/orders_instances/test/s/instance_23.json,OK,2,6,416,740,0.09560562501428649,
s,instance_24.json,data/orders_instances/test/s/instance_24.json,OK,2,4,158,88,0.022015833004843444,
s,instance_25.json,data/orders_instances/test/s/instance_25.json,OK,2,6,237,318,0.045877916971221566,
s,instance_26.json,data/orders_instances/test/s/instance_26.json,OK,2,6,216,180,0.07664883299730718,
s,instance_27.json,data/orders_instances/test/s/instance_27.json,OK,2,4,235,142,0.05239104200154543,
s,instance_28.json,data/orders_instances/test/s/instance_28.json,OK,2,2,148,2,0.00850766705116257,
s,instance_29.json,data/orders_instances/test/s/instance_29.json,OK,2,2,117,0,0.009420083020813763,
s,instance_3.json,data/orders_instances/test/s/instance_3.json,OK,2,2,115,0,0.003949917037971318,
s,instance_30.json,data/orders_instances/test/s/instance_30.json,OK,2,2,73,0,0.003920125018339604,
s,instance_31.json,data/orders_instances/test/s/instance_31.json,OK,2,2,149,0,0.008532167004887015,
s,instance_32.json,data/orders_instances/test/s/instance_32.json,OK,2,6,235,143,0.062077749986201525,
s,instance_33.json,data/orders_instances/test/s/instance_33.json,OK,2,2,171,0,0.009173917002044618,
s,instance_34.json,data/orders_instances/test/s/instance_34.json,OK,2,6,236,215,0.03532179200556129,
s,instance_35.json,data/orders_instances/test/s/instance_35.json,OK,2,4,146,26,0.016625249991193414,
